pid,hid,freq,hzone,SurveyYear,IndividualID,HouseholdID,PSUID,VehicleID,PersNo,Age_B01ID,OfPenAge_B01ID,Sex_B01ID,EdAttn1_B01ID,EdAttn2_B01ID,EdAttn3_B01ID,DrivLic_B02ID,CarAccess_B01ID,DrivDisable_B01ID,WkPlace_B01ID,ES2000_B01ID,NSSec_B03ID,SC_B01ID,Stat_B01ID,SVise_B01ID,EcoStat_B02ID,PossHom_B01ID
2_1_0,1_1_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
1_2_0,1_2_0,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_2_0,1_2_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_2_0,1_2_0,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_2_0,1_2_0,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_2_1,1_2_1,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_2_1,1_2_1,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_2_1,1_2_1,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_2_1,1_2_1,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_3_0,1_3_0,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_3_0,1_3_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_3_0,1_3_0,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_3_0,1_3_0,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_3_1,1_3_1,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_3_1,1_3_1,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_3_1,1_3_1,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_3_1,1_3_1,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
2_4_0,1_4_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
1_5_0,1_5_0,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_5_0,1_5_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_5_0,1_5_0,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_5_0,1_5_0,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_5_1,1_5_1,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_5_1,1_5_1,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_5_1,1_5_1,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_5_1,1_5_1,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_6_0,1_6_0,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_6_0,1_6_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_6_0,1_6_0,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_6_0,1_6_0,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_6_1,1_6_1,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_6_1,1_6_1,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_6_1,1_6_1,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_6_1,1_6_1,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_7_0,1_7_0,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_7_0,1_7_0,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_7_0,1_7_0,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_7_0,1_7_0,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
1_7_1,1_7_1,0.2,530,2002,1,1,1,1,1,13,2,2,-10,-10,-10,1,2,-9,1,7,2,3,1,2,2,2
2_7_1,1_7_1,0.14285714285714285,530,2002,2,1,1,2,2,13,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
3_7_1,1_7_1,0.2,530,2002,3,1,1, ,3,4,2,1,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
4_7_1,1_7_1,0.2,530,2002,4,1,1, ,4,2,2,2,-10,-10,-10,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9
5_1_0,2_1_0,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_1_1,2_1_1,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_1_2,2_1_2,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_2_0,2_2_0,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_2_1,2_2_1,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_5_0,2_5_0,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_5_1,2_5_1,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_5_2,2_5_2,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_7_0,2_7_0,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_7_1,2_7_1,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
5_7_2,2_7_2,0.25,530,2002,5,2,1, ,1,18,1,2,-10,-10,-10,3,6,2,-9,6,1,3,1,1,4,-9
6_1_0,3_1_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_1_0,3_1_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_1_1,3_1_1,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_1_1,3_1_1,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_2_0,3_2_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_2_0,3_2_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_3_0,3_3_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_3_0,3_3_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_3_1,3_3_1,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_3_1,3_3_1,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_4_0,3_4_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_4_0,3_4_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_4_1,3_4_1,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_4_1,3_4_1,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_5_0,3_5_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_5_0,3_5_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_5_1,3_5_1,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_5_1,3_5_1,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
6_6_0,3_6_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
6_7_0,3_7_0,0.14285714285714285,530,2002,6,3,1,3,1,14,2,1,-10,-10,-10,1,2,-9,1,7,3,4,1,2,1,2
7_7_0,3_7_0,0.16666666666666666,530,2002,7,3,1, ,2,14,2,2,-10,-10,-10,3,4,-9,1,7,2,3,1,2,1,2
